X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
4.69736,44.0536,GARD,SAINT-LAURENT-DES-ARBRES,30278,St Laurent des Arbres - périurbain,FR50214,Périurbaine,Fond,PM10,5,17.8,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,836000,6329750,8001
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,PM10,5,8.6,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,568918,6283009,8002
1.39326,43.5616,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Eisenhower ,FR50039,Urbaine,Industrielle,PM10,5,13.3,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,570147,6274936,8003
4.36199,43.8299,GARD,NIMES,30189,Nîmes - Planas - Trafic,FR50212,Urbaine,Trafic,PM10,5,34.5,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,809561,6304377,8004
4.08842,43.6758,HERAULT,LUNEL-VIEL,34146,Lunel-Viel - Périurbain,FR50206,Périurbaine,Industrielle,PM10,5,32.8,ug.m-3,horaire,2020-03-16T18:00:00.000Z,2020-03-16T19:00:00.000Z,t,787792,6286912,8005
1.44389,43.5872,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,PM10,5,14.7,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,574294,6277699,8006
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,PM10,5,31.2,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,771642,6277340,8007
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,13.2,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,572227,6276450,8008
0.719131,43.1049,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint-Gaudens urbain,FR50825,Urbaine,Fond,PM10,5,11.1,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,514212,6225531,8009
2.14611,43.9281,TARN,ALBI,81004,Albi Urbain,FR50026,Urbaine,Fond,PM10,5,11.2,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,631428,6314715,8010
1.40639,43.5569,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-SETMI Chapitre,FR50040,Urbaine,Industrielle,PM10,5,16.4,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,571198,6274392,8011
2.8997,42.6958,PYRENEES-ORIENTALES,PERPIGNAN,66136,Perpignan Centre - urbain,FR50220,Urbaine,Fond,PM10,5,28.7,ug.m-3,horaire,2020-03-16T19:00:00.000Z,2020-03-16T20:00:00.000Z,t,691771,6177360,8012
0.179722,43.6303,GERS,PEYRUSSE-VIEILLE,32317,Peyrusse Vieille Rural,FR50020,Rurale Nationale,Fond,NOX as NO2,9,0.72,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,472377,6285316,8013
1.46765,43.6431,HAUTE-GARONNE,TOULOUSE,31555,Toulouse - Rte Albi Trafic,FR50054,Urbaine,Trafic,NOX as NO2,9,31,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,576334,6283873,8014
1.41518,43.6103,HAUTE-GARONNE,TOULOUSE,31555,Toulouse Port de l Embouchure,FR50821,Urbaine,Trafic,NOX as NO2,9,11,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,572027,6280312,8015
1.4496,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NOX as NO2,9,64.3,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,573544,6276247,8016
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,NOX as NO2,9,16.2,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,568918,6283009,8017
3.50483,43.2878,HERAULT,AGDE,34003,Agathois-Piscénois - Périurbain,FR50210,Périurbaine,Fond,NOX as NO2,9,2.2,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,740996,6243312,8018
4.08842,43.6758,HERAULT,LUNEL-VIEL,34146,Lunel-Viel - Périurbain,FR50206,Périurbaine,Industrielle,NOX as NO2,9,30.3,ug.m-3,horaire,2020-03-16T20:00:00.000Z,2020-03-16T21:00:00.000Z,t,787792,6286912,8019
1.44389,43.5872,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Berthelot Urbain,FR50030,Urbaine,Fond,NOX as NO2,9,6.5,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,574294,6277699,8020
3.86472,43.6117,HERAULT,MONTPELLIER,34172,Montpellier - Chaptal Urbain,FR50201,Urbaine,Fond,NOX as NO2,9,28.6,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,769827,6279565,8021
3.88689,43.5915,HERAULT,MONTPELLIER,34172,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,Fond,NOX as NO2,9,23.5,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,771642,6277340,8022
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,NOX as NO2,9,4.5,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,572227,6276450,8023
1.373,43.631,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Piste ,FR50043,Périurbaine,Trafic,NOX as NO2,9,7.7,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,568669,6282681,8024
0.719131,43.1049,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint-Gaudens urbain,FR50825,Urbaine,Fond,NOX as NO2,9,8.2,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,514212,6225531,8025
-0.051944,43.095,HAUTES-PYRENEES,LOURDES,65286,Lourdes-Paradis Trafic,FR50045,Urbaine,Trafic,NOX as NO2,9,6.3,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,451389,6226552,8026
2.14611,43.9281,TARN,ALBI,81004,Albi Urbain,FR50026,Urbaine,Fond,NOX as NO2,9,9.9,ug.m-3,horaire,2020-03-16T21:00:00.000Z,2020-03-16T22:00:00.000Z,t,631428,6314715,8027
