X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,NO,38,7.4,ug.m-3,annuelle,2018-01-01T01:00:00.000Z,2019-01-01T00:00:00.000Z,t,572227,6276450,1
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,NO,38,9.6,ug.m-3,annuelle,2017-01-01T01:00:00.000Z,2018-01-01T00:00:00.000Z,t,572227,6276450,2
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,NO2,8,17.6,ug.m-3,annuelle,2018-01-01T01:00:00.000Z,2019-01-01T00:00:00.000Z,t,572227,6276450,3
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,NO2,8,19.1,ug.m-3,annuelle,2017-01-01T01:00:00.000Z,2018-01-01T00:00:00.000Z,t,572227,6276450,4
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,NOX as NO2,9,28.9,ug.m-3,annuelle,2018-01-01T01:00:00.000Z,2019-01-01T00:00:00.000Z,t,572227,6276450,5
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,NOX as NO2,9,33.8,ug.m-3,annuelle,2017-01-01T01:00:00.000Z,2018-01-01T00:00:00.000Z,t,572227,6276450,6
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,O3,7,56.3,ug.m-3,annuelle,2018-01-01T01:00:00.000Z,2019-01-01T00:00:00.000Z,t,572227,6276450,7
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,O3,7,54.3,ug.m-3,annuelle,2017-01-01T01:00:00.000Z,2018-01-01T00:00:00.000Z,t,572227,6276450,8
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,16,ug.m-3,annuelle,2018-01-01T01:00:00.000Z,2019-01-01T00:00:00.000Z,t,572227,6276450,9
1.41861,43.5756,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Jacquier Urbain,FR50004,Urbaine,Fond,PM10,5,16.8,ug.m-3,annuelle,2017-01-01T01:00:00.000Z,2018-01-01T00:00:00.000Z,t,572227,6276450,10
0.744722,43.0944,HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,Saint Gaudens-Miramont Industriel,FR50015,Urbaine,Industrielle,H2S,11,1.4,ug.m-3,annuelle,2018-01-01T01:00:00.000Z,2019-01-01T00:00:00.000Z,t,516263,6224304,11
0.744722,43.0944,HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,Saint Gaudens-Miramont Industriel,FR50015,Urbaine,Industrielle,H2S,11,2.8,ug.m-3,annuelle,2017-01-01T01:00:00.000Z,2018-01-01T00:00:00.000Z,t,516263,6224304,12
0.744722,43.0944,HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,Saint Gaudens-Miramont Industriel,FR50015,Urbaine,Industrielle,SO2,1,0.2,ug.m-3,annuelle,2018-01-01T01:00:00.000Z,2019-01-01T00:00:00.000Z,t,516263,6224304,13
0.744722,43.0944,HAUTE-GARONNE,MIRAMONT-DE-COMMINGES,31344,Saint Gaudens-Miramont Industriel,FR50015,Urbaine,Industrielle,SO2,1,0.3,ug.m-3,annuelle,2017-01-01T01:00:00.000Z,2018-01-01T00:00:00.000Z,t,516263,6224304,14
0.718889,43.1064,HAUTE-GARONNE,SAINT-GAUDENS,31483,Saint Gaudens-Daurat Industriel,FR50016,Urbaine,Industrielle,H2S,11,2.3,ug.m-3,annuelle,2018-01-01T01:00:00.000Z,2019-01-01T00:00:00.000Z,t,514197,6225698,15
