X,Y,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93,ObjectId
1.4496,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NO,38,59.7,ug.m-3,mensuelle,2018-08-01T01:00:00.000Z,2018-09-01T00:00:00.000Z,t,573544,6276247,1001
1.4496,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NO,38,78.8,ug.m-3,mensuelle,2018-09-01T01:00:00.000Z,2018-10-01T00:00:00.000Z,t,573544,6276247,1002
1.4496,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NO,38,85.3,ug.m-3,mensuelle,2018-10-01T01:00:00.000Z,2018-11-01T00:00:00.000Z,t,573544,6276247,1003
1.4496,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NO,38,107.7,ug.m-3,mensuelle,2018-11-01T01:00:00.000Z,2018-12-01T00:00:00.000Z,t,573544,6276247,1004
1.4496,43.574,HAUTE-GARONNE,TOULOUSE,31555,Toulouse-Périphérique Trafic,FR50048,Urbaine,Trafic,NO,38,123.5,ug.m-3,mensuelle,2018-12-01T01:00:00.000Z,2019-01-01T00:00:00.000Z,t,573544,6276247,1005
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,NO,38,17.7,ug.m-3,mensuelle,2018-02-01T01:00:00.000Z,2018-03-01T00:00:00.000Z,t,568918,6283009,1006
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,NO,38,12.4,ug.m-3,mensuelle,2018-03-01T01:00:00.000Z,2018-04-01T00:00:00.000Z,t,568918,6283009,1007
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,NO,38,8.7,ug.m-3,mensuelle,2018-04-01T01:00:00.000Z,2018-05-01T00:00:00.000Z,t,568918,6283009,1008
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,NO,38,8,ug.m-3,mensuelle,2018-05-01T01:00:00.000Z,2018-06-01T00:00:00.000Z,t,568918,6283009,1009
1.376,43.634,HAUTE-GARONNE,BLAGNAC,31069,Blagnac Aéroport Trafic ,FR50044,Périurbaine,Trafic,NO,38,8.9,ug.m-3,mensuelle,2018-06-01T01:00:00.000Z,2018-07-01T00:00:00.000Z,t,568918,6283009,1010
