date;heure;NO2;O3
;;microg/m3;microg/m3
01/01/2017;1;30;9
01/01/2017;2;40;4
01/01/2017;3;34;6
01/01/2017;4;26;10
01/01/2017;5;24;13
01/01/2017;6;23;14
01/01/2017;7;25;13
01/01/2017;8;22;15
01/01/2017;9;22;16
01/01/2017;10;22;15
01/01/2017;11;30;13
01/01/2017;12;29;15
01/01/2017;13;31;16
01/01/2017;14;29;14
01/01/2017;15;27;17
01/01/2017;16;34;9
01/01/2017;17;36;7
01/01/2017;18;37;7
01/01/2017;19;37;7
01/01/2017;20;34;9
01/01/2017;21;32;10
01/01/2017;22;34;7
01/01/2017;23;36;6
01/01/2017;24;33;8
02/01/2017;1;31;10
02/01/2017;2;27;13
02/01/2017;3;27;12
02/01/2017;4;28;11
02/01/2017;5;32;6
02/01/2017;6;42;2
02/01/2017;7;43;5
02/01/2017;8;50;1
02/01/2017;9;53;1
02/01/2017;10;59;1
02/01/2017;11;52;3
02/01/2017;12;42;4
02/01/2017;13;46;3
02/01/2017;14;41;4
02/01/2017;15;44;4
02/01/2017;16;51;4
02/01/2017;17;58;5
02/01/2017;18;66;4
02/01/2017;19;69;4
02/01/2017;20;57;7
02/01/2017;21;62;2
02/01/2017;22;64;2
02/01/2017;23;64;1
02/01/2017;24;62;3
03/01/2017;1;59;3
03/01/2017;2;52;6
03/01/2017;3;54;3
03/01/2017;4;56;1
03/01/2017;5;55;2
03/01/2017;6;60;0
03/01/2017;7;63;1
03/01/2017;8;67;1
03/01/2017;9;70;1
03/01/2017;10;71;2
03/01/2017;11;68;4
03/01/2017;12;59;9
03/01/2017;13;50;12
03/01/2017;14;47;14
03/01/2017;15;50;11
03/01/2017;16;56;8
03/01/2017;17;62;5
03/01/2017;18;57;6
03/01/2017;19;52;7
03/01/2017;20;56;4
03/01/2017;21;48;8
03/01/2017;22;41;12
03/01/2017;23;40;10
03/01/2017;24;38;12
04/01/2017;1;34;14
04/01/2017;2;29;18
04/01/2017;3;22;28
04/01/2017;4;25;24
04/01/2017;5;27;26
04/01/2017;6;40;16
04/01/2017;7;49;11
04/01/2017;8;61;3
04/01/2017;9;63;3
04/01/2017;10;57;11
04/01/2017;11;45;23
04/01/2017;12;37;29
04/01/2017;13;38;25
04/01/2017;14;n/d;n/d
04/01/2017;15;53;n/d
04/01/2017;16;58;9
04/01/2017;17;60;8
04/01/2017;18;66;6
04/01/2017;19;72;6
04/01/2017;20;59;17
04/01/2017;21;54;20
04/01/2017;22;50;23
04/01/2017;23;45;23
04/01/2017;24;47;20
05/01/2017;1;40;24
05/01/2017;2;36;25
05/01/2017;3;30;30
05/01/2017;4;27;31
05/01/2017;5;34;24
05/01/2017;6;50;11
05/01/2017;7;63;2
05/01/2017;8;71;1
05/01/2017;9;70;2
05/01/2017;10;69;5
05/01/2017;11;64;12
05/01/2017;12;54;22
05/01/2017;13;43;33
05/01/2017;14;32;45
05/01/2017;15;38;38
05/01/2017;16;41;36
05/01/2017;17;58;19
05/01/2017;18;76;6
05/01/2017;19;68;16
05/01/2017;20;61;16
05/01/2017;21;67;10
05/01/2017;22;54;18
05/01/2017;23;43;26
05/01/2017;24;41;26
06/01/2017;1;43;23
06/01/2017;2;40;22
06/01/2017;3;37;24
06/01/2017;4;37;21
06/01/2017;5;49;9
06/01/2017;6;54;6
06/01/2017;7;60;2
06/01/2017;8;69;1
06/01/2017;9;70;2
06/01/2017;10;73;5
06/01/2017;11;65;9
06/01/2017;12;52;16
06/01/2017;13;45;21
06/01/2017;14;36;29
06/01/2017;15;38;26
06/01/2017;16;39;25
06/01/2017;17;51;17
06/01/2017;18;63;7
06/01/2017;19;72;3
06/01/2017;20;69;3
06/01/2017;21;63;5
06/01/2017;22;64;4
06/01/2017;23;46;15
06/01/2017;24;51;11
07/01/2017;1;58;5
07/01/2017;2;52;8
07/01/2017;3;56;6
07/01/2017;4;50;7
07/01/2017;5;61;3
07/01/2017;6;68;3
07/01/2017;7;60;2
07/01/2017;8;61;2
07/01/2017;9;58;3
07/01/2017;10;57;6
07/01/2017;11;55;9
07/01/2017;12;52;15
07/01/2017;13;49;17
07/01/2017;14;45;18
07/01/2017;15;52;12
07/01/2017;16;60;5
07/01/2017;17;60;2
07/01/2017;18;58;2
07/01/2017;19;56;2
07/01/2017;20;54;2
07/01/2017;21;50;2
07/01/2017;22;48;2
07/01/2017;23;49;2
07/01/2017;24;48;1
08/01/2017;1;40;1
08/01/2017;2;39;1
08/01/2017;3;41;1
08/01/2017;4;36;1
08/01/2017;5;36;0
08/01/2017;6;39;1
