date;heure;NO2;O3
;;microg/m3;microg/m3
29/04/2019;1;18;48
29/04/2019;2;19;41
29/04/2019;3;23;32
29/04/2019;4;24;29
29/04/2019;5;35;15
29/04/2019;6;43;15
29/04/2019;7;50;17
29/04/2019;8;40;30
29/04/2019;9;30;43
29/04/2019;10;25;55
29/04/2019;11;29;55
29/04/2019;12;21;66
29/04/2019;13;17;71
29/04/2019;14;16;73
29/04/2019;15;14;76
29/04/2019;16;13;77
29/04/2019;17;21;71
29/04/2019;18;22;72
29/04/2019;19;17;75
29/04/2019;20;19;74
29/04/2019;21;25;64
29/04/2019;22;29;60
29/04/2019;23;29;56
29/04/2019;24;31;54
30/04/2019;1;27;53
30/04/2019;2;21;49
30/04/2019;3;20;44
30/04/2019;4;21;41
30/04/2019;5;30;32
30/04/2019;6;41;21
30/04/2019;7;45;21
30/04/2019;8;42;25
30/04/2019;9;33;27
30/04/2019;10;29;37
30/04/2019;11;28;43
30/04/2019;12;23;55
30/04/2019;13;22;71
30/04/2019;14;16;88
30/04/2019;15;15;91
30/04/2019;16;17;88
30/04/2019;17;18;77
30/04/2019;18;23;64
30/04/2019;19;32;52
30/04/2019;20;40;41
30/04/2019;21;35;48
30/04/2019;22;34;47
30/04/2019;23;36;41
30/04/2019;24;32;43
01/05/2019;1;25;48
01/05/2019;2;20;48
01/05/2019;3;22;40
01/05/2019;4;22;37
01/05/2019;5;24;30
01/05/2019;6;28;26
01/05/2019;7;31;25
01/05/2019;8;30;30
01/05/2019;9;30;35
01/05/2019;10;29;41
01/05/2019;11;26;55
01/05/2019;12;25;67
01/05/2019;13;23;80
01/05/2019;14;19;91
01/05/2019;15;18;97
01/05/2019;16;17;98
01/05/2019;17;15;94
01/05/2019;18;17;89
01/05/2019;19;24;79
01/05/2019;20;23;78
01/05/2019;21;19;78
01/05/2019;22;24;67
01/05/2019;23;19;70
01/05/2019;24;17;67
02/05/2019;1;14;65
02/05/2019;2;14;59
02/05/2019;3;11;54
02/05/2019;4;14;61
02/05/2019;5;24;52
02/05/2019;6;39;42
02/05/2019;7;44;32
02/05/2019;8;47;27
02/05/2019;9;37;36
02/05/2019;10;30;48
02/05/2019;11;26;60
02/05/2019;12;24;58
02/05/2019;13;25;54
02/05/2019;14;24;58
02/05/2019;15;35;43
02/05/2019;16;32;46
02/05/2019;17;17;67
02/05/2019;18;16;71
02/05/2019;19;18;72
02/05/2019;20;19;65
02/05/2019;21;21;59
02/05/2019;22;25;56
02/05/2019;23;21;55
02/05/2019;24;19;51
03/05/2019;1;15;53
03/05/2019;2;11;58
03/05/2019;3;10;60
03/05/2019;4;13;53
03/05/2019;5;23;42
03/05/2019;6;34;33
03/05/2019;7;47;21
03/05/2019;8;48;25
03/05/2019;9;38;37
03/05/2019;10;36;41
03/05/2019;11;25;60
03/05/2019;12;22;67
03/05/2019;13;25;59
03/05/2019;14;29;59
03/05/2019;15;29;59
03/05/2019;16;21;64
03/05/2019;17;26;53
03/05/2019;18;41;36
03/05/2019;19;36;40
03/05/2019;20;28;53
03/05/2019;21;22;58
03/05/2019;22;33;41
03/05/2019;23;27;49
03/05/2019;24;27;45
04/05/2019;1;22;49
04/05/2019;2;18;52
04/05/2019;3;14;57
04/05/2019;4;13;57
04/05/2019;5;13;51
04/05/2019;6;14;56
04/05/2019;7;14;63
04/05/2019;8;15;59
04/05/2019;9;16;62
04/05/2019;10;20;57
04/05/2019;11;20;54
04/05/2019;12;19;50
04/05/2019;13;16;52
04/05/2019;14;17;55
04/05/2019;15;16;56
04/05/2019;16;11;63
04/05/2019;17;18;56
04/05/2019;18;16;64
04/05/2019;19;23;55
04/05/2019;20;29;50
04/05/2019;21;26;53
04/05/2019;22;23;56
04/05/2019;23;20;57
04/05/2019;24;19;55
05/05/2019;1;18;52
05/05/2019;2;19;47
05/05/2019;3;21;41
05/05/2019;4;18;41
05/05/2019;5;19;41
05/05/2019;6;21;42
05/05/2019;7;18;52
05/05/2019;8;16;61
05/05/2019;9;9;79
05/05/2019;10;8;81
05/05/2019;11;8;85
05/05/2019;12;8;87
05/05/2019;13;10;83
05/05/2019;14;13;80
05/05/2019;15;16;78
05/05/2019;16;13;81
05/05/2019;17;15;79
05/05/2019;18;17;76
05/05/2019;19;18;74
05/05/2019;20;21;66
05/05/2019;21;24;63
05/05/2019;22;22;62
05/05/2019;23;20;61
