date;heure;NO2;O3
;;microg/m3;microg/m3
01/01/2018;1;9;73
01/01/2018;2;9;73
01/01/2018;3;11;70
01/01/2018;4;11;67
01/01/2018;5;10;66
01/01/2018;6;12;63
01/01/2018;7;13;60
01/01/2018;8;13;60
01/01/2018;9;11;62
01/01/2018;10;13;62
01/01/2018;11;15;61
01/01/2018;12;20;56
01/01/2018;13;24;53
01/01/2018;14;17;65
01/01/2018;15;13;71
01/01/2018;16;12;67
01/01/2018;17;11;67
01/01/2018;18;11;68
01/01/2018;19;14;64
01/01/2018;20;15;63
01/01/2018;21;13;61
01/01/2018;22;13;60
01/01/2018;23;13;61
01/01/2018;24;12;63
02/01/2018;1;10;63
02/01/2018;2;8;64
02/01/2018;3;8;64
02/01/2018;4;8;65
02/01/2018;5;13;56
02/01/2018;6;35;33
02/01/2018;7;46;23
02/01/2018;8;55;15
02/01/2018;9;44;24
02/01/2018;10;49;19
02/01/2018;11;54;17
02/01/2018;12;44;26
02/01/2018;13;34;33
02/01/2018;14;39;32
02/01/2018;15;43;32
02/01/2018;16;42;31
02/01/2018;17;40;30
02/01/2018;18;38;30
02/01/2018;19;41;25
02/01/2018;20;41;24
02/01/2018;21;31;31
02/01/2018;22;28;35
02/01/2018;23;13;56
02/01/2018;24;9;62
03/01/2018;1;5;64
03/01/2018;2;4;62
03/01/2018;3;3;59
03/01/2018;4;4;59
03/01/2018;5;4;75
03/01/2018;6;11;66
03/01/2018;7;14;72
03/01/2018;8;15;72
03/01/2018;9;16;71
03/01/2018;10;16;69
03/01/2018;11;20;65
03/01/2018;12;15;68
03/01/2018;13;15;66
03/01/2018;14;18;62
03/01/2018;15;17;65
03/01/2018;16;21;61
03/01/2018;17;24;58
03/01/2018;18;22;59
03/01/2018;19;26;55
03/01/2018;20;33;49
03/01/2018;21;19;62
03/01/2018;22;11;75
03/01/2018;23;19;57
03/01/2018;24;25;45
04/01/2018;1;29;40
04/01/2018;2;27;42
04/01/2018;3;25;38
04/01/2018;4;28;39
04/01/2018;5;35;31
04/01/2018;6;47;17
04/01/2018;7;45;16
04/01/2018;8;23;35
04/01/2018;9;19;40
04/01/2018;10;17;43
04/01/2018;11;19;41
04/01/2018;12;18;43
04/01/2018;13;17;44
04/01/2018;14;18;43
04/01/2018;15;19;44
04/01/2018;16;18;60
04/01/2018;17;22;60
04/01/2018;18;28;55
04/01/2018;19;28;51
04/01/2018;20;25;55
04/01/2018;21;20;62
04/01/2018;22;20;59
04/01/2018;23;25;50
04/01/2018;24;17;60
05/01/2018;1;10;68
05/01/2018;2;9;68
05/01/2018;3;9;71
05/01/2018;4;7;75
05/01/2018;5;11;77
05/01/2018;6;41;45
05/01/2018;7;73;18
05/01/2018;8;71;20
05/01/2018;9;56;33
05/01/2018;10;56;29
05/01/2018;11;44;40
05/01/2018;12;38;44
05/01/2018;13;27;55
05/01/2018;14;28;53
05/01/2018;15;29;56
05/01/2018;16;36;47
05/01/2018;17;46;37
05/01/2018;18;52;29
05/01/2018;19;55;26
05/01/2018;20;54;24
05/01/2018;21;77;5
05/01/2018;22;78;4
05/01/2018;23;76;5
05/01/2018;24;59;13
06/01/2018;1;49;20
06/01/2018;2;44;23
06/01/2018;3;39;30
06/01/2018;4;31;36
06/01/2018;5;31;36
06/01/2018;6;32;36
06/01/2018;7;34;36
06/01/2018;8;30;40
06/01/2018;9;37;33
06/01/2018;10;36;36
